log_price,car_age,km_per_year,motor_clean,marca,state_clean,câmbio,combustível,bancos_de_couro,teto_solar,tracao_4x4,blindado,unico_dono
10.666650414667744,13.0,13076.923076923076,1.6,Volkswagen,SP,Semi-automático,Flex,False,False,False,False,False
11.372524818667134,5.0,31000.0,1.8,Chevrolet,SP,Automático,Flex,False,False,False,False,False
11.904298410001253,3.0,27753.0,1.4,Volkswagen,SP,Automático,Flex,True,False,False,False,False
11.634266607494453,2.0,29882.5,1.5,Honda,SP,Automático,Flex,True,False,False,False,False
11.643084929027989,1.0,27500.0,1.0,Volkswagen,SP,Automático,Flex,False,False,False,False,False
11.511934974596555,5.0,15007.6,1.4,Chevrolet,SP,Automático,Flex,False,False,False,False,False
12.138334343884129,0.5,25000.0,1.5,Ford,RS,Automático,Flex,True,True,False,False,False
11.501874628783144,4.0,24204.25,1.5,Chery,SP,Automático,Flex,True,False,False,False,False
10.401258331428318,12.0,8500.0,1.6,Ford,SP,Manual,Flex,False,False,False,False,True
11.982310152711182,0.5,39322.0,1.3,Fiat,SP,Automático,Flex,False,False,False,False,False
10.714217748749789,10.0,6300.0,1.5,Ford,STATE_OTHER,Manual,Flex,False,False,False,False,False
11.682676678340282,1.0,29300.0,1.0,Volkswagen,BA,Automático,Flex,True,False,False,False,False
10.431199791458543,12.0,15500.0,1.0,Chevrolet,SP,Manual,Flex,False,False,False,False,False
11.669937760751914,7.0,14285.714285714286,2.0,Bmw,GO,Automático,Gasolina,True,False,False,False,False
11.338583982516495,9.0,11444.444444444445,1.8,Honda,MG,Automático,Flex,True,False,False,False,False
12.013706813470414,16.0,3937.5,2.0,BRAND_OTHER,MG,Manual,Gasolina,False,False,True,False,False
11.196857635323791,4.0,10500.0,1.8,Jeep,GO,Automático,Flex,True,False,False,False,False
11.050905878263567,7.0,20714.285714285714,1.6,Volkswagen,SP,Manual,Flex,False,False,False,False,False
11.110969193687714,1.0,50000.0,1.0,Fiat,SP,Manual,Flex,False,False,False,False,False
11.000448478455008,2.0,16674.5,1.0,Renault,SP,Manual,Flex,False,False,False,False,False
10.611523345589823,4.0,22647.0,1.0,Renault,RJ,Manual,Flex,False,False,False,False,False
11.325402403776808,8.0,16937.5,,Fiat,RS,,,False,False,False,False,False
11.743965754811045,4.0,14237.0,1.5,Mitsubishi,MG,Automático,Gasolina,False,False,False,False,False
9.210440366976517,12.0,8750.0,,Renault,STATE_OTHER,Manual,,False,False,False,False,False
11.248842724768773,5.0,7600.0,,Chevrolet,SP,Automático,Flex,False,False,False,False,False
11.982872842633874,6.0,19226.333333333332,2.0,Volkswagen,PR,Automático,Gasolina,True,True,False,False,True
12.20557752297723,1.0,26873.0,,BRAND_OTHER,RS,Automático,Gasolina,True,False,False,False,True
11.937545932118134,6.0,21333.333333333332,3.0,Ford,SC,Automático,Diesel,True,False,False,False,False
11.095908894882296,10.0,9500.0,1.5,Honda,RJ,Automático,Flex,True,False,False,False,False
11.65260914341328,0.5,67400.0,1.3,Fiat,SP,Manual,Flex,False,False,False,False,False
10.93133754807084,15.0,10066.666666666666,1.8,Toyota,MG,Automático,Flex,True,False,False,False,False
12.12215284831553,5.0,14400.0,2.0,BRAND_OTHER,RS,Automático,Gasolina,True,True,False,False,False
10.714217748749789,10.0,17000.0,1.0,Chevrolet,SP,Manual,Flex,False,False,False,False,False
11.579658451506333,1.0,85000.0,,Volkswagen,PR,Automático,,True,False,False,False,False
10.980041672085022,1.0,26000.0,1.0,Fiat,STATE_OTHER,Manual,Flex,False,False,False,False,True
11.616393190430356,1.0,16000.0,1.0,Volkswagen,SP,Automático,Flex,False,False,False,False,False
10.91328684226798,12.0,9166.666666666666,1.6,Kia Motors,ES,Manual,Flex,False,False,False,False,False
10.305647203635566,14.0,13417.785714285714,1.4,Chevrolet,SP,Manual,Flex,False,False,False,False,False
10.431199791458543,10.0,14000.0,1.0,Volkswagen,MG,Manual,Flex,False,False,False,False,False
11.870536970198486,2.0,29274.0,1.6,Chery,MG,Automático,Gasolina,True,True,False,False,False
12.813092603575246,1.0,20000.0,2.0,BRAND_OTHER,MG,Automático,Híbrido,True,False,False,False,False
10.983613347424248,7.0,17714.285714285714,,Chevrolet,SP,Manual,Flex,False,False,False,False,False
